formula,reagent,detection,instrument,phase,environment,setting,biome,reference,doi,note
C9H14O3,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H14O3 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证） | source: Table S3
C9H14O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H14O4 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C9H14O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H14O5 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C9H14O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H14O6 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C9H14O7,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H14O7 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C9H14O8,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H14O8 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C9H14O9,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H14O9 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C9H15O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H15O4 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C9H15O6,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H15O6 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C9H15O7,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H15O7 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C9H15O8,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H15O8 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C9H16O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H16O5 | DBE 2，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C9H16O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H16O6 | DBE 2，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C9H16O7,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H16O7 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C9H16O8,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H16O8 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C9H16O11,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H16O11 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C9H18O2,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H18O2 | DBE 1，整数 ⇒ 闭壳层 | source: Table S3
C9H18O10,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H18O10 | DBE 1，整数 ⇒ 闭壳层 | source: Table S3
C9H18O11,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H18O11 | DBE 1，整数 ⇒ 闭壳层 | source: Table S3
C9H20O5,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C9H20O5 | DBE 0，整数 ⇒ 闭壳层 | source: Table S3
C9H20O8,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H20O8 | DBE 0，整数 ⇒ 闭壳层 | source: Table S3
C9H20O10,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C9H20O10 | DBE 0，整数 ⇒ 闭壳层 | source: Table S3
C10H10O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H10O4 | DBE 6，整数 ⇒ 闭壳层 | source: Table S3
C10H11O5,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H11O5 | DBE 5.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H12O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H12O4 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H12O5,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H12O5 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H12O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H12O6 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H12O7,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H12O7 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H12O8,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H12O8 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H12O11,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H12O11 | DBE 5，整数 ⇒ 闭壳层 | source: Table S3
C10H13O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H13O5 | DBE 4.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H13O6,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H13O6 | DBE 4.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H13O7,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H13O7 | DBE 4.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H14O,I-,adduct,FIGAERO-I-CIMS,particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅颗粒相检出 | as written: C10H14O | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O2,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O2 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O3,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O3 | DBE 4，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证） | source: Table S3
C10H14O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O4 | DBE 4，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H14O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O5 | DBE 4，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H14O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O6 | DBE 4，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H14O7,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O7 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O8,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O8 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O9,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O9 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O10,I-,adduct,FIGAERO-I-CIMS,particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅颗粒相检出 | as written: C10H14O10 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H14O12,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H14O12 | DBE 4，整数 ⇒ 闭壳层 | source: Table S3
C10H15O4,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H15O4 | DBE 3.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H15O6,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H15O6 | DBE 3.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H15O7,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H15O7 | DBE 3.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H15O8,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H15O8 | DBE 3.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H16O2,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H16O2 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C10H16O3,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O3 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H16O4,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O4 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H16O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O5 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H16O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O6 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证）；属正文选出的 77 个颗粒相 OOM，Figure 4e 给出 FIGAERO 热谱图反演的 log C*300K | source: Table S3 + Figure 4e
C10H16O7,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O7 | DBE 3，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证） | source: Table S3
C10H16O8,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O8 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C10H16O9,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H16O9 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C10H16O10,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H16O10 | DBE 3，整数 ⇒ 闭壳层 | source: Table S3
C10H17O6,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H17O6 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H17O7,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H17O7 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H17O8,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H17O8 | DBE 2.5，半整数 ⇒ 开壳层自由基（RO2/RO） | source: Table S3
C10H18O5,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H18O5 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C10H18O6,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H18O6 | DBE 2，整数 ⇒ 闭壳层 | 同一分子亦被 UPLC/(-)ESI-Orbitrap MS 在颗粒相检出（独立电离/检测技术互证） | source: Table S3
C10H18O7,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H18O7 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C10H18O8,I-,adduct,FIGAERO-I-CIMS,gas/particle,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；气相+颗粒相均检出 | as written: C10H18O8 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
C10H18O9,I-,adduct,FIGAERO-I-CIMS,gas,chamber; alpha-pinene ozonolysis flow tube (TANGENT),chamber,,"Vasudevan-Geetha et al., 2026, ACS Earth Space Chem.",10.1021/acsearthspacechem.5c00327,alpha-pinene 臭氧解 OOM；仅气相检出 | as written: C10H18O9 | DBE 2，整数 ⇒ 闭壳层 | source: Table S3
